conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,den03s10-in-f49.1e100.net,59885,443,1492060399.863684 , 1492060400.233769 ,             10,              9,              0,              0,              9,              9,              6,              2,              3,              0,              1,              0,              2,              0,            936,           3708,              3,              6,            936,           3983,              0,              1,              0,            275,              0,              0,              0,              0,              0,              2,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              3,              0,              0,              0,              0,              0,           1460,           1380,            642,           1374,            126,            262,            311,            663,          98624,          44800,          87616,          43520,              0,              0,          91285,          43840,            168,           1649,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.255,          0.194,          117.1,          110.5,              0,              0,           2529,          10019,
2,192.168.2.3,den03s10-in-f49.1e100.net,37361,443,1492060399.863694 , 1492060400.243462 ,             12,             10,              0,              0,             11,             10,              8,              2,              4,              0,              2,              0,              1,              0,            873,           4260,              3,              7,            873,           5909,              0,              2,              0,           1649,              0,              0,              0,              0,              0,              1,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              4,              0,              0,              0,              0,              0,           1460,           1380,            579,           1374,            126,            262,            290,            844,          95872,          44672,          87616,          43520,              0,              0,          90368,          43776,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.225,          0.312,          135.4,          203.6,              0,              0,           2299,          11217,
3,192.168.2.3,den03s10-in-f49.1e100.net,51901,443,1492060399.905482 , 1492060400.253549 ,              9,              8,              0,              0,              8,              8,              5,              2,              2,              0,              0,              0,              1,              0,            936,           3711,              3,              5,            936,           3711,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1380,            642,           1374,            126,            262,            311,            742,          95872,          44800,          87616,          43520,              0,              0,          90024,          43885,            168,           3023,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.038,          0.098,          201.4,           51.6,              0,              0,           2689,          10662,
