conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-54-243-187-254.compute-1.amazonaws.com,59583,443,1494126669.256071 , 1494126669.745945 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1593,           6089,              3,              7,           1593,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1284,           1448,            126,             51,            530,            869,          99200,          33024,          87616,          30464,              0,              0,          95517,          30784,            183,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.249,          0.228,         3031.4,         3065.6,              0,              0,           3252,          12430,
2,192.168.2.3,edge-star-shv-01-dft4.facebook.com,45740,443,1494126669.508094 , 1494126669.905996 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,            798,           4808,              3,              5,            798,           4808,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            265,            961,         101632,          30208,          87616,          29184,              0,              0,          93920,          29476,            184,           3493,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.119,          0.259,         2871.3,         2912.2,              0,              0,           2006,          12083,
3,192.168.2.3,ec2-54-243-64-25.compute-1.amazonaws.com,58318,443,1494126670.386788 , 1494126670.776350 ,             12,             10,              0,              0,             11,             10,              7,              2,              0,              0,              0,              0,              0,              0,           2000,           6095,              4,              7,           2000,           6095,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1448,           1448,            126,             51,            499,            870,          99200,          33536,          87616,          30208,              0,              0,          95517,          30947,            189,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.182,          0.191,         2001.0,         2038.8,              0,              0,           5134,          15646,
4,192.168.2.3,ash2-weblb-wg6.ash2.spotify.com,59149,443,1494126670.417113 , 1494126671.61533 ,             11,             10,              0,              0,             10,             10,              6,              3,              0,              0,              0,              0,              0,              0,            906,           4772,              4,              6,            906,           4772,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            310,           1448,            126,             26,            226,            795,         102080,          32512,          87616,          30336,              0,              0,          93996,          31047,            187,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.363,          0.428,         1715.8,         1771.5,              0,              0,           1406,           7405,
5,192.168.2.3,178.162.216.177,39945,443,1494126670.432217 , 1494126671.297504 ,             13,             10,              2,              2,             10,              8,              5,              0,              0,              0,              0,              0,              0,              0,           1470,           4027,              4,              6,           1470,           4027,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1133,           1448,             31,             31,            367,            671,          99200,          32768,          87616,          30720,              0,              0,          79050,          24576,            180,           3519,              1,              3,           1439,           3996,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.544,          0.394,          186.8,          194.4,              0,              0,           1699,           4654,
6,192.168.2.3,a23-48-108-62.deploy.static.akamaitechnologies.com,47045,443,1494126670.517292 , 1494126670.791821 ,             13,             11,              2,              1,             11,             10,              6,              1,              0,              0,              0,              0,              0,              0,           1448,           5532,              4,              7,           1448,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1101,           1448,             31,             31,            361,            790,          99200,          32928,          87616,          30048,              0,              0,          79290,          27907,            190,           2896,              1,              2,             NA,           5532,             NA,              0,              0,              0,              0,              0,          0.192,          0.152,           48.7,           86.2,              0,              0,           5274,          20151,
7,192.168.2.3,178.162.216.177,60613,443,1494126671.143270 , 1494126672.9545 ,             10,              9,              2,              2,              7,              7,              2,              2,              0,              0,              0,              0,              0,              0,           1783,            403,              4,              3,           1783,            403,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1184,            235,             31,             31,            445,            134,          88704,          32768,          87616,          30720,              0,              0,          68387,          24064,            517,            137,              1,              1,           1752,            372,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.533,          0.371,          215.8,          215.5,              0,              0,           2058,            465,
8,192.168.2.3,178.162.216.177,38595,443,1494126671.867406 , 1494126672.777312 ,              9,              8,              1,              2,              7,              6,              2,              2,              0,              0,              0,              0,              0,              0,           1768,            403,              4,              3,           1768,            403,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/1,            1/1,            Y/Y,            Y/Y,              6,             10,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1169,            235,             31,             31,            441,            134,          88704,          32768,          87616,          30720,              0,              0,          76936,          22820,            517,            137,              1,              1,           1737,            372,18446744073709551585,18446744073709551585,              0,              0,              0,              0,          0.568,          0.409,          226.8,          240.6,              0,              0,           1943,            443,
