conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,



1,192.168.2.3,ec2-54-225-235-202.compute-1.amazonaws.com,33567,443,1492097628.539283 , 1492097628.832234 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1615,           6089,              3,              7,           1615,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1306,           1448,            126,             51,            538,            869,          99200,          34816,          87616,          19200,              0,              0,          95517,          21152,            183,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.168,          0.169,          685.7,          718.8,              0,              0,           5513,          20785,

2,192.168.2.3,151.101.52.116,40749,443,1492097628.862390 , 1492097629.262088 ,             12,              9,              0,              0,             11,              9,              6,              2,              0,              0,              0,              0,              0,              0,           1798,           5678,              5,              6,           1798,           5678,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1066,           1448,             74,             51,            359,            946,         102080,          34304,          87616,          30208,              0,              0,          95778,          31744,            164,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.154,          0.256,          255.8,          294.8,              0,              0,           4498,          14206,

3,192.168.2.3,server-54-230-123-143.dfw50.r.cloudfront.net,49463,443,1492097628.974469 , 1492097629.391960 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,           1277,           4946,              3,              5,           1277,           4946,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            972,           1448,            126,            242,            425,            989,         102080,          32000,          87616,          30208,              0,              0,          94136,          30720,            179,           3893,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.078,          0.273,          314.8,          220.0,              0,              0,           3059,          11847,

4,192.168.2.3,151.101.52.116,46812,443,1492097629.2680 , 1492097629.392136 ,             10,              8,              0,              0,              9,              8,              6,              1,              0,              0,              0,              0,              0,              0,            957,           5957,              3,              6,            957,           5957,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            667,           1448,            126,             51,            318,            992,         102080,          31744,          87616,          30208,              0,              0,          95018,          30646,            164,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.138,          0.213,          197.8,          195.7,              0,              0,           2457,          15296,
